Date,USEURSP
20/07/2007,1.38345
23/07/2007,1.38175
24/07/2007,1.38245
25/07/2007,1.37055
26/07/2007,1.37195
27/07/2007,1.36555
30/07/2007,1.36835
31/07/2007,1.36885
01/08/2007,1.36755
02/08/2007,1.36735
03/08/2007,1.37655
06/08/2007,1.37955
07/08/2007,1.37645
08/08/2007,1.38175
09/08/2007,1.37055
10/08/2007,1.36785
13/08/2007,1.36155
14/08/2007,1.35715
15/08/2007,1.34695
16/08/2007,1.34015
17/08/2007,1.35155
20/08/2007,1.34795
21/08/2007,1.34895
22/08/2007,1.35155
23/08/2007,1.35745
24/08/2007,1.36385
27/08/2007,1.36415
28/08/2007,1.36425
29/08/2007,1.36475
30/08/2007,1.36365
31/08/2007,1.36325
03/09/2007,1.3611
04/09/2007,1.35875
05/09/2007,1.36505
06/09/2007,1.36915
07/09/2007,1.37635
10/09/2007,1.37925
11/09/2007,1.38345
12/09/2007,1.38855
13/09/2007,1.3881
14/09/2007,1.38685
17/09/2007,1.38675
18/09/2007,1.38695
19/09/2007,1.39575
20/09/2007,1.40865
21/09/2007,1.40935
24/09/2007,1.40925
25/09/2007,1.41235
26/09/2007,1.41215
27/09/2007,1.41515
28/09/2007,1.42215
01/10/2007,1.42425
02/10/2007,1.41535
03/10/2007,1.41455
04/10/2007,1.41355
05/10/2007,1.41425
08/10/2007,1.40645
09/10/2007,1.40885
10/10/2007,1.41635
11/10/2007,1.42375
12/10/2007,1.41715
15/10/2007,1.42245
16/10/2007,1.4156
17/10/2007,1.41965
18/10/2007,1.42795
19/10/2007,1.42505
22/10/2007,1.41455
23/10/2007,1.42415
24/10/2007,1.42285
25/10/2007,1.43065
26/10/2007,1.43865
29/10/2007,1.44035
30/10/2007,1.44235
31/10/2007,1.44675
01/11/2007,1.44345
02/11/2007,1.44815
05/11/2007,1.44705
06/11/2007,1.4551
07/11/2007,1.4665
08/11/2007,1.46885
09/11/2007,1.46785
12/11/2007,1.45365
13/11/2007,1.46025
14/11/2007,1.46905
15/11/2007,1.46275
16/11/2007,1.46325
19/11/2007,1.46545
20/11/2007,1.47805
21/11/2007,1.48235
22/11/2007,1.48485
23/11/2007,1.48005
26/11/2007,1.48395
27/11/2007,1.48605
28/11/2007,1.47565
29/11/2007,1.47715
30/11/2007,1.46785
03/12/2007,1.46585
04/12/2007,1.47535
05/12/2007,1.46565
06/12/2007,1.4621
07/12/2007,1.46535
10/12/2007,1.47135
11/12/2007,1.46935
12/12/2007,1.46785
13/12/2007,1.46025
14/12/2007,1.44355
17/12/2007,1.43775
18/12/2007,1.44025
19/12/2007,1.43875
20/12/2007,1.43445
21/12/2007,1.43715
24/12/2007,1.44035
25/12/2007,1.44035
26/12/2007,1.45025
27/12/2007,1.45685
28/12/2007,1.47045
31/12/2007,1.46205
01/01/2008,1.46205
02/01/2008,1.47255
03/01/2008,1.47225
04/01/2008,1.47745
07/01/2008,1.47175
08/01/2008,1.47145
09/01/2008,1.46685
10/01/2008,1.47355
11/01/2008,1.47915
14/01/2008,1.48805
15/01/2008,1.48535
16/01/2008,1.46835
17/01/2008,1.46885
18/01/2008,1.46245
21/01/2008,1.4479
22/01/2008,1.46145
23/01/2008,1.45565
24/01/2008,1.47125
25/01/2008,1.46975
28/01/2008,1.47955
29/01/2008,1.47675
30/01/2008,1.47855
31/01/2008,1.4806
01/02/2008,1.48225
04/02/2008,1.48155
05/02/2008,1.46425
06/02/2008,1.46575
07/02/2008,1.45035
08/02/2008,1.44965
11/02/2008,1.44965
12/02/2008,1.45915
13/02/2008,1.45645
14/02/2008,1.46225
15/02/2008,1.46885
18/02/2008,1.4651
19/02/2008,1.47445
20/02/2008,1.46475
21/02/2008,1.47905
22/02/2008,1.48145
25/02/2008,1.48305
26/02/2008,1.48825
27/02/2008,1.50995
28/02/2008,1.51785
29/02/2008,1.5181
03/03/2008,1.52015
04/03/2008,1.52345
05/03/2008,1.52685
06/03/2008,1.53565
07/03/2008,1.53555
10/03/2008,1.53695
11/03/2008,1.53275
12/03/2008,1.54945
13/03/2008,1.55815
14/03/2008,1.56055
17/03/2008,1.57645
18/03/2008,1.57845
19/03/2008,1.56425
20/03/2008,1.54165
21/03/2008,1.54165
24/03/2008,1.53945
25/03/2008,1.55945
26/03/2008,1.57595
27/03/2008,1.57985
28/03/2008,1.57585
31/03/2008,1.58455
01/04/2008,1.55955
02/04/2008,1.561
03/04/2008,1.5635
04/04/2008,1.57425
07/04/2008,1.57125
08/04/2008,1.57075
09/04/2008,1.5777
10/04/2008,1.5789
11/04/2008,1.582
14/04/2008,1.58415
15/04/2008,1.58035
16/04/2008,1.59505
17/04/2008,1.59035
18/04/2008,1.57315
21/04/2008,1.59185
22/04/2008,1.59785
23/04/2008,1.58775
24/04/2008,1.57005
25/04/2008,1.56595
28/04/2008,1.56425
29/04/2008,1.5608
30/04/2008,1.5569
01/05/2008,1.54505
02/05/2008,1.54045
05/05/2008,1.54815
06/05/2008,1.55545
07/05/2008,1.5398
08/05/2008,1.54205
09/05/2008,1.54325
12/05/2008,1.55015
13/05/2008,1.5485
14/05/2008,1.54575
15/05/2008,1.54775
16/05/2008,1.5552
19/05/2008,1.55145
20/05/2008,1.56375
21/05/2008,1.57675
22/05/2008,1.57155
23/05/2008,1.57685
26/05/2008,1.5776
27/05/2008,1.57205
28/05/2008,1.56275
29/05/2008,1.55325
30/05/2008,1.55405
02/06/2008,1.55285
03/06/2008,1.54605
04/06/2008,1.54485
05/06/2008,1.55365
06/06/2008,1.57345
09/06/2008,1.57295
10/06/2008,1.54825
11/06/2008,1.5536
12/06/2008,1.54195
13/06/2008,1.53435
16/06/2008,1.5461
17/06/2008,1.55045
18/06/2008,1.55165
19/06/2008,1.54885
20/06/2008,1.56325
23/06/2008,1.54855
24/06/2008,1.55925
25/06/2008,1.55655
26/06/2008,1.57485
27/06/2008,1.57505
30/06/2008,1.57555
01/07/2008,1.57545
02/07/2008,1.58655
03/07/2008,1.57145
04/07/2008,1.5692
07/07/2008,1.56635
08/07/2008,1.56795
09/07/2008,1.57305
10/07/2008,1.5794
11/07/2008,1.59095
14/07/2008,1.58975
15/07/2008,1.59715
16/07/2008,1.58215
17/07/2008,1.58825
18/07/2008,1.5852
21/07/2008,1.58605
22/07/2008,1.58365
23/07/2008,1.56965
24/07/2008,1.56715
25/07/2008,1.56705
28/07/2008,1.57375
29/07/2008,1.55935
30/07/2008,1.55575
31/07/2008,1.56025
01/08/2008,1.55615
04/08/2008,1.56095
05/08/2008,1.54865
06/08/2008,1.54185
07/08/2008,1.53765
08/08/2008,1.50315
11/08/2008,1.49995
12/08/2008,1.49095
13/08/2008,1.4868
14/08/2008,1.48975
15/08/2008,1.46895
18/08/2008,1.47025
19/08/2008,1.47025
20/08/2008,1.4728
21/08/2008,1.48825
22/08/2008,1.48155
25/08/2008,1.4778
26/08/2008,1.46505
